train_type,coach_no,seat_no,service_class,is_window,is_aisle,is_table,is_forward_msk_spb,is_service,is_free_seating,is_small_pet,is_animal,is_mgn
SAPSAN_TYPE2_UPDATED_FAMILY,4,51,2Р,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,52,2Р,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,53,2Р,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,54,2Р,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,55,2Р,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,56,2Р,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,57,2Р,1,0,1,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,58,2Р,0,1,1,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,59,2Р,1,0,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,60,2Р,0,1,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,61,2Р,1,0,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,62,2Р,0,1,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,63,2Р,1,0,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,64,2Р,0,1,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,65,2Р,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,4,66,2Р,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,1,2Е,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,2,2Е,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,3,2Е,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,4,2Е,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,5,2Е,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,6,2Е,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,7,2Е,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,8,2Е,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,9,2Е,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,10,2Е,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,11,2Е,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,12,2Е,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,13,2Е,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,14,2Е,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,15,2Е,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,16,2Е,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,17,2Е,1,0,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,18,2Е,0,1,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,19,2Е,1,0,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,20,2Е,0,1,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,21,2Е,1,0,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,22,2Е,0,1,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,23,2Е,1,0,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,24,2Е,0,1,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,25,2Е,1,0,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,26,2Е,0,1,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,27,2Е,1,0,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,28,2Е,0,1,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,29,2Е,1,0,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,30,2Е,0,1,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,31,2Е,1,0,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,32,2Е,0,1,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,33,2Е,1,0,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,34,2Е,0,1,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,35,2Е,1,0,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,36,2Е,0,1,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,37,2Е,1,0,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,38,2Е,0,1,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,39,2Е,1,0,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,5,40,2Е,0,1,0,,0,1,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,1,2С,1,0,0,1,0,0,1,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,2,2С,0,1,0,1,0,0,1,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,3,2С,1,0,0,1,0,0,1,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,4,2С,0,1,0,1,0,0,1,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,5,2С,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,6,2С,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,7,2С,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,8,2С,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,9,2С,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,10,2С,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,11,2С,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,12,2С,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,13,2С,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,14,2С,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,15,2С,1,0,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,16,2С,0,1,0,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,17,2С,1,0,1,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,18,2С,0,1,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,19,2С,1,0,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,20,2С,0,1,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,21,2С,1,0,1,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,22,2С,0,1,1,1,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,23,2С,1,0,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,24,2С,0,1,1,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,25,2С,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,26,2С,0,1,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,27,2С,1,0,0,0,0,0,0,0,0
SAPSAN_TYPE2_UPDATED_FAMILY,6,28,2С,0,1,0,0,0,0,0,0,0
